Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,02/07/2026,DIRECT DEP EMPLOYER PAYROLL,1986.30,ACH_CREDIT,6509.97,
DEBIT,02/17/2026,GOOGLE *SERVICES,-93.74,ACH_DEBIT,6416.23,
CREDIT,02/17/2026,WIRE TRANSFER IN,2842.54,ACH_CREDIT,9258.77,
CREDIT,02/17/2026,MOBILE DEPOSIT,2458.58,ACH_CREDIT,11717.35,
DEBIT,02/21/2026,TARGET,-158.01,ACH_DEBIT,11559.34,
DEBIT,02/24/2026,STARBUCKS,-181.91,ACH_DEBIT,11377.43,
CREDIT,02/27/2026,ZELLE FROM JOHN DOE,2132.85,ACH_CREDIT,13510.28,
DEBIT,03/02/2026,CHEVRON,-110.41,ACH_DEBIT,13399.87,
CREDIT,03/09/2026,ATM DEPOSIT,321.86,ACH_CREDIT,13721.73,
DEBIT,03/19/2026,PETCO,-79.39,ACH_DEBIT,13642.34,
DEBIT,03/21/2026,CVS PHARMACY,-162.50,ACH_DEBIT,13479.84,
CREDIT,03/22/2026,ACH CREDIT VENMO CASHOUT,2717.09,ACH_CREDIT,16196.93,
DEBIT,03/28/2026,PUBLIX SUPER MARKETS,-154.61,ACH_DEBIT,16042.32,
CREDIT,03/29/2026,WIRE TRANSFER IN,1614.27,ACH_CREDIT,17656.59,
DEBIT,03/30/2026,COSTCO WHOLESALE,-127.81,ACH_DEBIT,17528.78,
CREDIT,03/31/2026,WIRE TRANSFER IN,2471.28,ACH_CREDIT,20000.06,
DEBIT,03/31/2026,SHELL OIL,-81.22,ACH_DEBIT,19918.84,
CREDIT,04/03/2026,ACH CREDIT VENMO CASHOUT,613.74,ACH_CREDIT,20532.58,
DEBIT,04/04/2026,7-ELEVEN,-75.20,ACH_DEBIT,20457.38,
DEBIT,04/04/2026,APPLE.COM/BILL,-136.76,ACH_DEBIT,20320.62,
