Status,Date,Description,Debit,Credit
Cleared,02/08/2026,NETFLIX.COM,28.34,
Cleared,02/10/2026,NETFLIX.COM,91.62,
Cleared,02/13/2026,WALGREENS,183.31,
Cleared,02/16/2026,HEB GROCERY,91.74,
Cleared,02/22/2026,INTEREST PAYMENT,,2278.37
Cleared,02/25/2026,WHOLE FOODS MARKET,196.64,
Cleared,02/28/2026,AT&T PAYMENT,65.10,
Cleared,03/05/2026,CVS PHARMACY,128.04,
Cleared,03/05/2026,DOORDASH,117.03,
Cleared,03/07/2026,UBER TRIP,131.40,
Cleared,03/08/2026,SPOTIFY USA,150.98,
Cleared,03/12/2026,ACH CREDIT VENMO CASHOUT,,1138.64
Cleared,03/14/2026,TRADER JOE'S,65.42,
Cleared,03/15/2026,INTEREST PAYMENT,,1003.92
Cleared,03/16/2026,TRADER JOE'S,97.70,
Cleared,03/19/2026,STARBUCKS,37.64,
Cleared,03/21/2026,DOORDASH,165.01,
Cleared,03/23/2026,MOBILE DEPOSIT,,996.37
Cleared,03/25/2026,MCDONALD'S,143.03,
Cleared,04/04/2026,PETCO,30.65,
