Date,Description,Withdrawals,Deposits,Balance
02/05/2026,MCDONALD'S,188.30,,3461.92
02/11/2026,MCDONALD'S,135.72,,3326.20
02/17/2026,ZELLE FROM JOHN DOE,,3063.95,6390.15
02/17/2026,VERIZON WIRELESS,30.72,,6359.43
02/21/2026,SPOTIFY USA,82.92,,6276.51
02/22/2026,CVS PHARMACY,101.05,,6175.46
03/06/2026,INTEREST PAYMENT,,823.64,6999.10
03/09/2026,ZELLE FROM JOHN DOE,,446.35,7445.45
03/09/2026,HOME DEPOT,42.59,,7402.86
03/13/2026,TRADER JOE'S,40.41,,7362.45
03/13/2026,PETCO,91.44,,7271.01
03/16/2026,APPLE.COM/BILL,38.26,,7232.75
03/16/2026,COSTCO WHOLESALE,146.71,,7086.04
03/20/2026,7-ELEVEN,133.73,,6952.31
03/27/2026,MOBILE DEPOSIT,,2003.81,8956.12
03/30/2026,TARGET,55.51,,8900.61
03/31/2026,SHELL OIL,54.51,,8846.10
03/31/2026,ATM DEPOSIT,,1615.08,10461.18
03/31/2026,WIRE TRANSFER IN,,2539.51,13000.69
04/01/2026,CVS PHARMACY,83.74,,12916.95
