Date,Activity,Description,Debit Amount,Credit Amount
02/06/2026,Purchase,AUTOZONE,89.25,
02/15/2026,Purchase,TARGET,256.58,
02/17/2026,Purchase,GOOGLE *SERVICES,136.31,
02/19/2026,Purchase,PUBLIX SUPER MARKETS,296.04,
02/23/2026,Purchase,MCDONALD'S,164.94,
03/01/2026,Purchase,GOOGLE *SERVICES,214.32,
03/03/2026,Purchase,CHICK-FIL-A,71.15,
03/05/2026,Purchase,HOME DEPOT,238.16,
03/11/2026,Purchase,CVS PHARMACY,113.83,
03/12/2026,Purchase,KROGER,30.43,
03/13/2026,Purchase,GOOGLE *SERVICES,217.07,
03/16/2026,Purchase,VERIZON WIRELESS,247.89,
03/19/2026,Purchase,UBER TRIP,194.49,
03/20/2026,Purchase,CHICK-FIL-A,106.63,
03/20/2026,Purchase,COSTCO WHOLESALE,231.50,
03/21/2026,Purchase,7-ELEVEN,261.12,
03/25/2026,Purchase,SPOTIFY USA,53.57,
03/29/2026,Purchase,HOME DEPOT,107.08,
03/29/2026,Purchase,PUBLIX SUPER MARKETS,28.26,
04/04/2026,Purchase,MCDONALD'S,85.96,
